Label,Content
,Good!
,還不錯
,更明白了pointer
,一樣。，
,在家自?
,nice
,很棒
,nice!
,在家自?
,上禮拜的題目第六題沒有附到圖片
,nice
,在家??
,還不錯
,下雨天教室超悶 能幫開冷氣ㄇ
,incredible
,不錯
,NICE!
,今天有稍微講到指標
,不錯
,無
,thank you
,不錯。
,good，
,棒
,這周複習了關於陣列的用法和觀念，又加深印象了。
,對array有更多的了解
,good
,good
,今天錯的題目比較多
,非常實用
,上課內容變得更加進階了，並教了switch的部分
,not bad
,good
,還ok
,很充實
,做題的版面有點不清楚，看起來很吃力!
,很棒
,無
,thanks
,繼續加油
,無
,great
,我覺得很充實
,good
,今天上課內容剛好跟程二有呼應
,無
,之前 T 沒學好 現在會了
,Great!
,跟得上，
,更進步了
,還可
,還好
,今天的課知道了一些平常不太會用到的宣告，也釐清了一個重要的觀念。
,good
,no
,課程內容清楚詳細
,我覺得很棒
,讚喔
,|= <<= 這兩個運算子找不到
,無
,以往寫程式沒用過enum以後可以試試
,GOOD
,good!
,還好
,越來越上軌道。
,無
,good
,good
,good
,目前沒問題
,使用系統可以知道自己哪邊還沒學好 很充實
,無
,上課步調適中
,基本上都可以
,這週的課程讓我更了解
,喵
,棒棒棒，教得很清楚也很好
,漸入佳境
,switch還需多加強
,~~~
,good
,good
,目前內容還可以消化
,無
,我好快樂
,練習題還是粗心錯了一題 下次要注意
,OK
,下次要進步
,Hi， im an international student， sorry but i wish i could understand Chinese。 Its my mistake to take in the department without acknowledged it was taught in Chinese。 But i can learn some main parts from slides on the powerpoint。 I came to talk to you about my problem on previous monday and you tried to help me find the English class and im really appreciated it。 Thank you
,學習IO，前置處理等
,對於迴圈更清楚一點
,因為第一次學覺得有一點複雜，但我會去看上課影片去複習
,學習輔助系統很棒，能清楚哪方面自己有不足之處加以改進！
,上課內容很詳細
,咩
,再次學過後，對於一些基本概念有更加的了解
,not bad
,系統蠻特別
,普普通通
,無
,無
,對上課內容大致上了解
,無
,繼續加油
,數字拼盤的一些寫法與技巧值得學習。
,fun
,good
,很好
,下禮拜要考試ㄌ 要多複習了~
,行。
,我覺得可以再更好，
,good
,今天多學了一種檔案RTF，感覺很實用
,這禮拜終於沒功課了ˊ
,老??的很好哦，??老?！
,good
,耶 剩最後一周了!
,行。
,記事本!
,good
,快期末了呢，要好好複習一下前面教的了!
,這次交到了從來都沒碰過的 RichTextBox ，沒想到它可以想 word 一樣，變更部分字的顏色、大小或字型。
,很棒很喜歡哈哈哈
,今天好睏！
,很棒
,今天的課程也很不錯。
,今天的東西我覺得比較難，可能回去要多做幾次才會比較熟悉。
,database
,連接的東西好麻煩好不順手ㄚㄚㄚ
,今天的課程很有挑戰性。
,非常細心的教導
,這禮拜交了很多東西，回去要好好複習才行，不然作業會寫不出來
,很好~
,若是在textbox有修改資料，但不按任何button，直接在list index 做移動，是會自動modify嗎，每次只要一操作錯誤就會跳error然後回不去了，，我有想說在需要時加入e。cancel，但不知道要宣告捨麼變數才能找到這個功能！
,越來越聽不懂了
,資料庫連線是很重要的一部分!
,作業每週都出太多了。
,老??的很好，??老?！
,feeling good
,終於期末了 ya!
,ok
,原來小畫家可以這樣做出來啊！
,good
,挺好
,讚
,今天的課程也讓人覺得充滿挑戰性。
