,0,1,2,3,4,5
0,0.999999,1.939935536057854e-05,6.413484014711065e-05,0.999999,0.018613191450424206,0.0003791326253049416
1,5.291676473145239e-06,1.918054306364906e-05,0.999999,3.474911734837538e-05,3.226314477088648e-05,7.118981552019956e-05
2,5.2788322593560965e-06,1.9673698262504393e-05,1.9710547339573295e-05,3.3049441545987546e-05,3.1599065093581445e-05,7.094773776665775e-05
3,5.2627715845593866e-06,1.9626895856059797e-05,1.937438427140006e-05,3.301169262521227e-05,1.653307987792809e-05,7.094674393898766e-05
4,4.908975104047834e-06,1.8668659773546914e-05,1.8668048001560383e-05,3.071774640460451e-05,3.0067162960826845e-05,0.0005416842285177629
5,5.2788322593560965e-06,1.9673698262504393e-05,1.9710547339573295e-05,3.3049441545987546e-05,3.1599065093581445e-05,7.094773776665775e-05
6,1e-06,0.999999,1.6584774180207862e-05,0.0002081501638487843,0.11258776912627051,7.24409076925856e-05
7,5.2611211172522995e-06,1.9778786925423745e-05,1.982780961685882e-05,3.3397682145644027e-05,3.238646710987543e-05,0.0003625409733339108
8,1.388166935366138e-05,1.9176859647444965e-05,0.999999,3.584147441436625e-05,3.1633078839629886e-05,0.0002789347732079483
9,5.269110050216661e-06,1.956505322413823e-05,0.999999,3.2801638342659466e-05,3.1594278281891165e-05,7.094426247152565e-05
10,5.2788322593560965e-06,1.9673698262504393e-05,1.9710547339573295e-05,3.3049441545987546e-05,3.1599065093581445e-05,7.094773776665775e-05
11,1e-06,1.9529180448289664e-05,1.960038615849683e-05,3.298678178374805e-05,3.0011492166253893e-05,7.094602918969407e-05
12,5.2788322593560965e-06,1.9673698262504393e-05,1.9710547339573295e-05,3.3049441545987546e-05,3.1599065093581445e-05,7.094773776665775e-05
13,7.261036345755237e-05,1e-06,0.00022996601746039924,1e-06,0.061655935552120074,1e-06
14,5.2611211172522995e-06,1.9778786925423745e-05,1.982780961685882e-05,3.3397682145644027e-05,3.238646710987543e-05,0.0003625409733339108
15,1e-06,1.9511880821573228e-05,4.978925964824823e-05,3.5317259092831785e-05,0.001891138501644286,7.046953998578866e-05
16,5.2788322593560965e-06,1.9673698262504393e-05,1.9710547339573295e-05,3.3049441545987546e-05,3.1599065093581445e-05,7.094773776665775e-05
17,5.2611211172522995e-06,1.9778786925423745e-05,1.982780961685882e-05,3.3397682145644027e-05,3.238646710987543e-05,0.0003625409733339108
18,5.2627715845593866e-06,1.9626895856059797e-05,1.937438427140006e-05,3.301169262521227e-05,1.653307987792809e-05,7.094674393898766e-05
19,1e-06,1.042491990732769e-05,1e-06,1e-06,1e-06,0.00026991770942576764
20,5.2788322593560965e-06,1.9673698262504393e-05,1.9710547339573295e-05,3.3049441545987546e-05,3.1599065093581445e-05,7.094773776665775e-05
21,4.834063864468573e-06,1.6915175647076988e-05,0.999999,3.360698063553905e-05,3.167835321802458e-05,0.999999
22,5.2627715845593866e-06,1.9626895856059797e-05,1.937438427140006e-05,3.301169262521227e-05,1.653307987792809e-05,7.094674393898766e-05
23,5.269110050216661e-06,1.956505322413823e-05,0.999999,3.2801638342659466e-05,3.1594278281891165e-05,7.094426247152565e-05
